train_time,batch_size,learning_rate,epoch,accuracy,precision,recall,f1,id
04:57.2,32,5.00E-07,6,0.675257732,0.824561404,0.47,0.598726115,29
04:54.0,32,5.00E-07,6,0.675257732,0.824561404,0.47,0.598726115,44
04:49.4,32,5.00E-07,6,0.675257732,0.824561404,0.47,0.598726115,78
08:00.2,32,3.00E-07,10,0.670103093,0.821428571,0.46,0.58974359,12
17:54.1,16,1.00E-07,20,0.670103093,0.821428571,0.46,0.58974359,42
17:50.5,16,1.00E-07,20,0.670103093,0.821428571,0.46,0.58974359,68
08:03.7,32,3.00E-07,10,0.670103093,0.821428571,0.46,0.58974359,85
04:52.4,32,4.00E-07,6,0.670103093,0.821428571,0.46,0.58974359,102
04:50.4,32,7.00E-07,6,0.664948454,0.843137255,0.43,0.569536424,41
16:06.2,32,2.00E-07,20,0.659793814,0.84,0.42,0.56,88
16:01.5,32,2.00E-07,20,0.659793814,0.84,0.42,0.56,99
04:57.9,32,6.00E-07,6,0.654639175,0.823529412,0.42,0.556291391,23
04:56.1,32,6.00E-07,6,0.654639175,0.823529412,0.42,0.556291391,32
04:49.4,32,6.00E-07,6,0.654639175,0.823529412,0.42,0.556291391,51
16:11.6,32,1.00E-07,20,0.644329897,0.816326531,0.4,0.536912752,28
09:04.3,16,1.00E-07,10,0.639175258,0.840909091,0.37,0.513888889,112
04:28.0,16,8.00E-07,5,0.634020619,0.914285714,0.32,0.474074074,16
15:58.2,32,3.00E-07,20,0.628865979,0.911764706,0.31,0.462686567,34
04:33.5,16,1.00E-06,5,0.597938144,0.958333333,0.23,0.370967742,48
02:40.9,16,0.0001,3,0.551546392,0.696969697,0.23,0.345864662,31
04:46.2,32,0.0002,6,0.505154639,0.543478261,0.25,0.342465753,5
04:42.5,32,0.0002,6,0.505154639,0.543478261,0.25,0.342465753,65
04:45.0,32,0.0002,6,0.505154639,0.543478261,0.25,0.342465753,107
03:57.1,32,0.0002,5,0.541237113,0.677419355,0.21,0.320610687,13
03:57.5,32,0.0002,5,0.541237113,0.677419355,0.21,0.320610687,60
03:58.6,32,0.0002,5,0.541237113,0.677419355,0.21,0.320610687,61
00:50.3,32,1.00E-05,1,0.577319588,0.95,0.19,0.316666667,40
17:45.3,1,1.00E-06,5,0.546391753,0.714285714,0.2,0.3125,47
05:33.9,32,0.0001,7,0.541237113,0.689655172,0.2,0.310077519,55
05:31.3,32,0.0001,7,0.541237113,0.689655172,0.2,0.310077519,80
02:24.1,32,0.00035,3,0.494845361,0.523809524,0.22,0.309859155,49
02:28.2,32,0.00035,3,0.494845361,0.523809524,0.22,0.309859155,89
02:24.0,32,0.00035,3,0.494845361,0.523809524,0.22,0.309859155,98
04:42.2,32,0.0002,6,0.536082474,0.666666667,0.2,0.307692308,91
04:47.5,32,0.0002,6,0.5,0.538461538,0.21,0.302158273,25
